title,genre,description
The Dark Knight,Action Crime Drama,"Batman fights crime in Gotham City against a dangerous criminal mastermind."
Inception,Action Science Fiction Thriller,"A skilled thief enters people's dreams to steal secrets and manipulate their minds."
Interstellar,Science Fiction Adventure Drama,"Astronauts travel through space searching for a new home for humanity."
The Matrix,Action Science Fiction,"A computer hacker discovers that reality is actually a simulated world controlled by machines."
Avengers Endgame,Action Adventure Science Fiction,"Superheroes join together to defeat a powerful enemy and save the universe."
Titanic,Romance Drama,"A young couple from different social classes falls in love aboard a famous ship."
The Notebook,Romance Drama,"A romantic story about two people whose love survives many difficulties."
Toy Story,Animation Comedy Family,"Toys come to life and go on an exciting adventure while learning about friendship."
Finding Nemo,Animation Adventure Family,"A father travels across the ocean to find his missing son and meets many sea creatures."
Jurassic Park,Science Fiction Adventure,"Scientists create a dinosaur theme park that becomes dangerous when the dinosaurs escape."
Avatar,Science Fiction Adventure,"A marine explores an alien world and becomes involved in a conflict between humans and an indigenous population."
Spider Man,Action Adventure Superhero,"A young superhero uses his powers to fight criminals and protect his city."
Iron Man,Action Science Fiction Superhero,"A billionaire inventor creates a powerful armored suit and becomes a superhero."
The Lion King,Animation Adventure Drama,"A young lion learns about responsibility and becomes the leader of his kingdom."
Harry Potter,Fantasy Adventure,"A young wizard attends a magical school and battles dark forces."
Pirates of the Caribbean,Action Adventure Fantasy,"A pirate goes on dangerous adventures involving treasure, ships, and supernatural forces."
